College_Name,Course,City,State,University,Average_Fees,Rating,NIRF_Rank,Institute_Type,NBA_Accreditation,NAAC_Accreditation,Website
Gayatri Vidya Parishad College for Degree and PG Courses,ELECTRONICS & COMMUNICATION ENGG,Visakhapatnam,Andhra Pradesh,"Andhra University, Visakhapatnam",201666.66666666663,0,,Private,No,No,www.gvpcdpgc.e du.in/
RISE Krishna Sai Gandhi Group of Institutions,ELECTRONICS & COMMUNICATION ENGG,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",117250.0,0,,Private,No,No,www.risegroup.e du.in
RISE Krishna Sai Prakasam Group of Institutions,ELECTRONICS & COMMUNICATION ENGG,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",118214.28571428572,0,,Private,No,No,www.risegroup.e du.in
Krishna Chaitanya Institute of Technology and Sciences,ELECTRONICS & COMMUNICATION ENGG,Idupur,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",149000.0,0,,Private,No,No,www.kits- anna.com
Vindhya Institute of Technology and Science,ELECTRONICS & COMMUNICATION ENGG,Indore,Madhya Pradesh,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",130353.84615384616,0,,Private,No,No,www.bvcits.ac.in
Ramireddy Subbarami Reddy Engineering College,ELECTRONICS & COMMUNICATION ENGG,Kadanuthala,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",153166.66666666666,0,,Private,No,No,www.rsrec.in
Gayatri Vidya Parishad College of Engineering for Women,ELECTRONICS & COMMUNICATION ENGG,Visakhapatnam,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",360199.99999999994,0,,Private,No,No,www.gvpcew.ac.i n
Dhanekula Institute of Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,Gangur,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",141981.81818181818,0,,Private,No,No,www.diet.ac.in
Geethanjali Institute of Science and Technology,ELECTRONICS & COMMUNICATION ENGG,Gangavaram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",160444.44444444444,0,,Private,No,No,www.gist.edu.in
Sri Vasavi Engineering College,ELECTRONICS & COMMUNICATION ENGG,West Godavari,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151764.70588235295,3.18,,Private,No,No,www.srivasavien gg.ac
PACE Institute of Technology and Sciences,ELECTRONICS & COMMUNICATION ENGG,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150812.5,0,,Private,No,No,www.pace.ac.in
PES College of Engineering,ELECTRONICS & COMMUNICATION ENGG,Mandya,Karnataka,"Visvesvaraya Technological University, Belagavi",127875.0,2.99,,Private,No,No,"www.sircrrengg.a
 c.in"
Vishnu Institute of Technology,ELECTRONICS & COMMUNICATION ENGG,Bhimavaram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",248754.54545454544,3.51,,Private,No,No,www.vishnu.edu.i n
NRI Institute of Technology,ELECTRONICS & COMMUNICATION ENGG,Gopalapuram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",168666.6666666667,0,,Private,No,No,www.nrigroupofc olleg
Pragati Engineering College,ELECTRONICS & COMMUNICATION ENGG,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",217714.2857142857,3.08,,Private - Autonomous,No,No,www.pragati.ac.i n
Aditya Engineering College,ELECTRONICS & COMMUNICATION ENGG,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",163440.0,0,,Private - Autonomous,No,No,www.aec.edu.in
