College ID,college name,Institute Region,State,District,Address,Year of Establishment,Institute Type,College Category,Website,University,NBA,NAAC,NIRF,Women Institute,Course
32146,VISHNU INSTITUTE OF TECHNOLOGY,SOUTH,Andhra Pradesh,West Godavari,"Vishnupur,Bhimavaram- 534202.W.G.Dist.Andhra Pradesh",2008,Private,Engineering,www.vishnu.edu.i n,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,COMPUTER SCIENCE & ENGINEERING
32867,NRI INSTITUTE OF TECHNOLOGY,SOUTH,Andhra Pradesh,Krishna,"Pothavarappadu Village, Via Nunna, Agiripalli Mandal521212,Krishna Dist,A.P",2008,Private,Engineering,www.nrigroupofc olleg,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,COMPUTER SCIENCE & ENGINEERING
31634,GEETHANJALI INSTITUTE OF SCIENCE AND TECHNOLOGY,SOUTH,Andhra Pradesh,Nellore,"3Rd Mile, Nellore Bombay Highway,Gangavaram (Vill. & Post),Kovur (Mandal),Spsr Nellore District",2008,Private,Engineering,www.gist.edu.in,"Jawaharlal Nehru Technological University, Anantapur",No,No,-,No,COMPUTER SCIENCE AND ENGINEERING
31663,ADITYA COLLEGE OF ENGINEERING,SOUTH,Andhra Pradesh,Chittoor,"Valasapalli Post,Madanapalle,Chittoor Dist,Andhra Pradesh",2009,Private,Engineering,www.acem.ac.in,"Jawaharlal Nehru Technological University, Anantapur",No,No,-,No,COMPUTER SCIENCE AND ENGINEERING
31918,RISE KRISHNA SAI GANDHI GROUP OF INSTITUTIONS,SOUTH,Andhra Pradesh,Prakasam,"Nh - 5,Valluru , OngolePrakasam Dist",2009,Private,Engineering,www.risegroup.e du.in,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,COMPUTER SCIENCE AND ENGINEERING
32091,RISE KRISHNA SAI PRAKASAM GROUP OF INSTITUTIONS,SOUTH,Andhra Pradesh,Prakasam,"Nh - 5,Valluru - OngolePrakasam DtPin - 523 272Andhra Pradesh",2009,Private,Engineering,www.risegroup.e du.in,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,COMPUTER SCIENCE AND ENGINEERING
32131,KRISHNA CHAITANYA INSTITUTE OF TECHNOLOGY & SCIENCES,SOUTH,Andhra Pradesh,Prakasam,"Devarajugattu Village,Peddaraveedu Mandal,Prakasam District",2008,Private,Engineering,www.kits- anna.com,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,COMPUTER SCIENCE AND ENGINEERING
32174,SRINIVASA RAMANUJAN INSTITUTE OF TECHNOLOGY,SOUTH,Andhra Pradesh,Anantapur,Rotarypuram (Village)B K Samudram (Mandal)Anantapur (District),2008,Private,Engineering,www.srit.ac.in,"Jawaharlal Nehru Technological University, Anantapur",No,No,-,No,COMPUTER SCIENCE AND ENGINEERING
32209,RAMACHANDRA COLLEGE OF ENGINEERING,SOUTH,Andhra Pradesh,West Godavari,"Nh-5 Bypass Road,Vatluru (V), Eluru- 534007,West Godavari Dt.,Andhra Pradesh.",2008,Private,Engineering,www.rcee.ac.in,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,COMPUTER SCIENCE AND ENGINEERING
32223,BONAM VENKATACHALAMAYYA INSTITUTE OF TECHNOLOGY & SCIENCE,SOUTH,Andhra Pradesh,East Godavari,BatlapalemAmalapuram (Mandal)East Godavari DistrictAndhra Pradesh533221,2002,Private,Engineering,www.bvcits.ac.in,"Jawaharlal Nehru Technological University, Kakinada",No,No,-,No,COMPUTER SCIENCE AND ENGINEERING
